parameter sync wildtype,per wildtype,amp wildtype,per wildtype/wt,amp wildtype/wt,sync her7 mutant,per her7 mutant,amp her7 mutant,per her7 mutant/wt,amp her7 mutant/wt,sync her13 mutant,per her13 mutant,amp her13 mutant,per her13 mutant/wt,amp her13 mutant/wt,sync delta mutant,per delta mutant,amp delta mutant,per delta mutant/wt,amp delta mutant/wt,sync her7,per her7,amp her7,per her7,amp her7,sync her1 mutant,per her1 mutant,amp her1 mutant,per her1 mutant/wt,amp her1 mutant/wt,sync delta,per delta,amp delta,per delta,amp delta,sync her7,per her7,amp her7,per her7,amp her7,sync her1,per her1,amp her1,per her1,amp her1,sync her7,per her7,amp her7,per her7,amp her7,sync her1,per her1,amp her1,per her1,amp her1,
10,4.68777,2.27295,2.25981,2.27273,2.27273,2.27273,-1,1.91229e-06,1.11223e-305,1.93478e-06,2.2727,2.27368,2.27481,2.27343,2.28754,2.33012,2.27219,2.18578,2.27198,2.1987,2.27271,2.27405,2.27482,2.2738,2.28753,2.27276,2.27326,2.26826,2.27305,2.28121,2.27266,-0.999696,2.83647e-06,3.6585e-306,2.87517e-06,2.27084,2.27225,5.17541,2.272,5.21926,2.3094,2.27255,2.22846,2.27233,2.2415,2.2727,0,2.27273,0,2.28517,2.27276,7.77607e-305,0.63577,7.77871e-305,5.58992e-06,
11,0.0676918,2.27525,2.27185,2.27273,2.27273,2.27273,-1.50759,2.56049e-06,1.67509e-305,2.57688e-06,2.27265,2.27587,2.27255,2.27332,2.27315,2.25207,2.27401,2.3032,2.27149,2.30454,2.27266,2.27515,2.27247,2.27259,2.27305,2.27275,2.27556,2.27085,2.27303,2.27169,2.2727,-2.73497e+306,7.14285,inf,7.20195,2.26075,2.27366,1.99067,2.27111,1.9969,2.25263,2.274,2.29739,2.27148,2.29859,2.27275,0,2.27273,0,2.27307,2.27273,7.58972e-305,0.887914,7.58461e-305,4.54541,
12,4.68777,2.2741,2.28158,2.27273,2.27273,2.27272,-1.00033,4.98876e-06,1.11203e-305,4.99931e-06,2.2727,2.27368,2.274,2.27226,2.26489,2.25204,2.27401,2.30313,2.27265,2.29465,2.2727,2.27405,2.27397,2.27265,2.26486,2.27275,2.27403,2.281,2.27267,2.27213,2.27273,0,14.2857,0,14.3425,2.26012,2.27366,2.01096,2.27225,2.00866,2.25263,2.274,2.29739,2.27263,2.28879,2.27273,0,2.27273,0,2.26338,2.27274,9.79866e-305,0.12922,9.79702e-305,1.12531e-06,
13,0.0676918,2.27371,2.28102,2.27273,2.27273,2.27272,-1,1.67129e-06,1.11186e-305,1.67524e-06,2.2727,2.27441,2.27483,2.27339,2.26629,2.25348,2.27437,2.30126,2.2734,2.29334,2.27271,2.27405,2.27482,2.27304,2.26627,2.27275,2.27403,2.28044,2.27303,2.27213,2.27273,-inf,7.14285,inf,7.173,2.26075,2.27366,1.99067,2.27265,1.98888,2.25414,2.274,2.29562,2.27302,2.28758,2.27273,0,2.27273,0,2.26393,2.27274,9.79866e-305,0.130029,9.79867e-305,4.54542,
14,4.68777,2.27448,2.28194,2.27273,2.27273,2.27272,-1.49808,4.75256e-06,1.66509e-305,4.76186e-06,2.2727,2.27368,2.27481,2.27189,2.26536,2.25077,2.27401,2.30516,2.27226,2.29631,2.27271,2.27405,2.27482,2.27226,2.26536,2.27275,2.27364,2.28122,2.27189,2.272,2.27273,-1,2.24764e-06,3.65715e-306,2.25622e-06,2.26183,2.27402,1.95015,2.27223,1.94761,2.25161,2.274,2.29861,2.27225,2.28964,2.27273,0,2.27273,0,2.26303,2.27274,9.79755e-305,0.131263,9.79426e-305,1.14291e-06,
15,0.0676937,2.27718,2.28566,2.27273,2.27273,2.27276,0,18.1818,0,18.1877,2.27287,2.2766,2.27719,2.27213,2.26403,2.25207,2.27401,2.3032,2.26958,2.29062,2.27286,2.27625,2.27738,2.27176,2.26421,2.27282,2.27709,2.2867,2.27264,2.27375,2.27275,-1.00152,1.32494e-06,3.6584e-306,1.32783e-06,2.26075,2.27366,1.99067,2.26919,1.98485,2.25263,2.274,2.29739,2.26955,2.2847,2.2727,0,2.27273,0,2.25934,2.27275,9.83371e-305,0.144493,9.81876e-305,4.54542,
16,4.68777,2.27448,2.28064,2.27273,2.27273,2.27276,-1.00167,3.57087e-06,1.11334e-305,3.57991e-06,2.2727,2.27441,2.2749,2.27263,2.26673,2.25383,2.27364,2.30141,2.2719,2.29389,2.27271,2.27405,2.27502,2.27226,2.26685,2.27275,2.27403,2.281,2.27228,2.27307,2.27272,-1,2.15921e-06,3.65715e-306,2.16869e-06,2.31919,2.27613,0.645245,2.27433,0.644776,2.25263,2.274,2.29739,2.27225,2.28974,2.27273,0,2.27273,0,2.26431,2.27272,9.77474e-305,0.193863,9.77144e-305,1.68895e-06,
17,0.0676918,2.27448,2.2833,2.27273,2.27273,2.27272,-1,1.67129e-06,1.11148e-305,1.67357e-06,2.27272,2.27441,2.275,2.27263,2.26419,2.24577,2.27437,2.31218,2.27263,2.30194,2.27271,2.27405,2.27482,2.27226,2.26401,2.27275,2.27403,2.281,2.27228,2.27042,2.27274,-1,1.01103e-06,3.65715e-306,1.01429e-06,2.26075,2.27366,1.99067,2.27188,1.98689,2.25263,2.274,2.29739,2.27225,2.28707,2.27273,0,2.27273,0,2.26168,2.27274,8.68835e-305,0.563918,8.68542e-305,4.54542,
18,4.68777,2.27371,2.28197,2.27273,2.27273,2.27263,-1,2.88283e-06,1.11186e-305,2.88842e-06,2.2727,2.27368,2.27481,2.27265,2.26532,2.25562,2.27364,2.29788,2.27267,2.28903,2.27271,2.27405,2.27482,2.27304,2.26533,2.27275,2.27403,2.281,2.27303,2.27174,2.27276,-1.49688,3.37775e-06,5.47617e-306,3.3906e-06,2.28288,2.2719,6.52047,2.27088,6.51189,2.25263,2.274,2.29739,2.27302,2.28839,2.27272,0,2.27273,0,2.26298,2.27277,7.83559e-305,0.594222,7.8356e-305,5.17387e-06,
19,0.0676915,2.27525,2.29632,2.27273,2.27273,2.27272,-1,1.67129e-06,1.1111e-305,1.66408e-06,2.2727,2.27404,2.2747,2.27148,2.25106,2.1942,2.2751,2.38932,2.27258,2.36525,2.27271,2.27405,2.27482,2.2715,2.25117,2.27274,2.27479,2.29211,2.27226,2.26853,2.27279,-1.49627,6.08545e-06,5.47025e-306,6.07043e-06,2.26075,2.27366,1.99067,2.27111,1.97562,2.20228,2.27544,2.35927,2.27293,2.33535,2.27275,0,2.27273,0,2.24885,2.27274,9.79811e-305,0.13034,9.7915e-305,4.54542,
20,4.68777,2.27218,2.24721,2.27273,2.27273,2.27272,-1,1.67129e-06,1.1126e-305,1.70044e-06,2.2727,2.27368,2.27481,2.27419,2.30036,2.38738,2.27146,2.10093,2.27202,2.12521,2.27271,2.27405,2.27482,2.27458,2.30037,2.27276,2.27249,2.25657,2.27305,2.28218,2.27258,-1.00046,2.31534e-06,3.66255e-306,2.3601e-06,2.26075,2.27366,1.99067,2.27419,2.0188,2.36444,2.27146,2.16088,2.27201,2.18572,2.27269,0,2.27273,0,2.29799,2.27274,8.68724e-305,0.577368,8.69312e-305,5.10489e-06,
21,0.0676915,2.27525,2.29707,2.27273,2.27273,2.27277,-0.992163,2.29594e-06,1.1024e-305,2.28527e-06,2.2727,2.27368,2.27481,2.27112,2.25042,2.19037,2.27546,2.39518,2.27295,2.37027,2.27271,2.27405,2.27482,2.2715,2.25043,2.27274,2.27479,2.29211,2.27226,2.26779,2.27278,-0.999544,1.35018e-06,3.65426e-306,1.3464e-06,2.31832,2.27578,0.660494,2.27321,0.655289,2.20338,2.27544,2.35833,2.27293,2.33365,2.27275,0,2.27273,0,2.24811,2.27272,9.77419e-305,0.194182,9.76759e-305,4.54542,
